Artist,Title,Album,Year,Filename,Analysis
4. FROGTHEDAWG,snap_vs_rob_zombie - remastered,MONSTER MASHUP - PHANTOM OF THE MASHUPERA,,4. FROGTHEDAWG - snap_vs_rob_zombie - remastered.mp3,❌ Not found - likely rare
A plus D,$20 Monday (M.I.A. vs. New Order),AplusD.net,2007,42 $20 Monday (M.I.A. vs. New Order).mp3,❓ Poor matches - potentially rare
A plus D,Oh Yeah Yeah! (Usher vs. Yello),RebelDJs.com,2006,Oh Yeah Yeah! (Usher vs. Yello).mp3,❓ Poor matches - potentially rare
A plus D,I'm Really Hot Hot Hot!!! (Missy Elliott vs. The Cure),www.rebeldjs.com,2004,01 I'm Really Hot Hot Hot!!! (Missy Elliott vs. The Cure).mp3,❓ Poor matches - potentially rare
ABX / The Hood Internet,Bonde Do Roll Out (Ludacris vs. Bonde Do Role),Best of Bootie 2008,2008,13 Bonde Do Roll Out (Ludacris vs. Bonde Do Role).mp3,❓ Poor matches - potentially rare
AGGRO1,Roxanne Clubbed to Death,,,Roxanne Clubbed to Death.mp3,❓ Poor matches - potentially rare
AGGRO1,Strange Love Cocaine,,,Strange Love Cocaine.mp3,❌ Not found - likely rare
Aggro1,sexyback is out of controll,,,sexyback is out of controll.mp3,❓ Poor matches - potentially rare
Aggro1,The Streets of Hotel California,,,The Streets of Hotel California.mp3,❌ Not found - likely rare
Aggro1,Strange Love Cocaine,www.aggro1.com,,Strange Love Cocaine.mp3,❌ Not found - likely rare
Alan Black,Who's Afraid?,MONSTER MASHUP - PHANTOM OF THE MASHUPERA,2010,1-05 Who's Afraid_.mp3,❓ Poor matches - potentially rare
American Girlfriend,Got To Know Ya,Isn't She Still...Pretty In Pink,2000,03 Got To Know Ya.mp3,❓ Poor matches - potentially rare
Amy Fox,Be My Number Two / Shanghai Sky,Different For Girls: Women Artists And Female-Fronted Bands Cover Joe Jackson,2004,11 Be My Number Two _ Shanghai Sky.mp3,❓ Poor matches - potentially rare
Anders Sodergren,Nostalgia Demo 2,Nostalgia by Zero-G,0000,Nostalgia Demo 2.mp3,❌ Not found - likely rare
Apollo Zero,Don't Scream Halloween's Paid In Full,Bride Of Monster Mashup,2006,15 Don't Scream Halloween's Paid In Full.mp3,❓ Poor matches - potentially rare
Arty Fufkin,Give Losers a Chance,Arty Fufkin presents Beck vs John Lennon w Steve Buscemi,,Give Losers a Chance.mp3,❓ Poor matches - potentially rare
Assfort,Takin' A Ride/5/Sing,31 Bands Trash 31 Songs To Find The Way To Sesame Street,,27 Takin' A Ride_5_Sing.mp3,❓ Poor matches - potentially rare
Attaboy Skip,Stank OYHL,,,Stank OYHL.mp3,❌ Not found - likely rare
AudioDile,More Werewolves of Alabama (Boston Vs. Lynyrd Skynyrd Vs. Warren Zevon),Single,,More Werewolves of Alabama (Boston Vs. Lynyrd Skynyrd Vs. Warren Zevon).mp3,❓ Poor matches - potentially rare
Audiodile,Audiodile - Manic Pressure (drowning Slowly),,,Audiodile - Manic Pressure (drowning Slowly).mp3,❌ Not found - likely rare
BOCA 2K,I Wanna Be Like You,BOCA 2K,2000,07 I Wanna Be Like You.mp3,❓ Poor matches - potentially rare
BP Studio Musicians,Moonage Daydream (Instrumental Track),"Karaoke: In the Style of David Bowie, Vol. 3 (Karaoke Version)",2008,10 Moonage Daydream (Instrumental Track).m4a,❌ Not found - likely rare
BP Studio Musicians,Moonage Daydream (Instrumental Track),"Karaoke: In the Style of David Bowie, Vol. 3 (Karaoke Version)",2008,10 Moonage Daydream (Instrumental Track) 1.m4a,❌ Not found - likely rare
Beatallica,Everybody's Got a Ticket to Ride Except For Me And My Lightning (live on WLUP),,,Everybody's Got a Ticket to Ride Except For Me And My Lightning (live on WLUP).mp3,❌ Not found - likely rare
Beatallica,I Want to Choke Your Band / We Can Hit The Lightz (live at WLUP),,,I Want to Choke Your Band _ We Can Hit The Lightz (live at WLUP).mp3,❌ Not found - likely rare
Beatallica,For Horsemen (live on WLUP),,,For Horsemen (live on WLUP).mp3,❌ Not found - likely rare
Bella Love vs. Soulwax,Funky Touch,DJ Clive$ter Mashups Vol. 10,2008,Funky Touch.mp3,❓ Poor matches - potentially rare
Ben Folds Five,Free Bird Jam & Bad Idea (Retarded) (Ja,,,Free Bird Jam & Bad Idea (Retarded) (Ja.mp3,❓ Poor matches - potentially rare
Ben Folds Five,Elvin Bishop,7th House - 26 Jan 96,,Elvin Bishop.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,061 - Gale Storm - Ivory Tower,,,Billboard Top 100 Hits Of 1956 - 061 - Gale Storm - Ivory Tower.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,064 - Otis Williams & His Charms - Ivory Tower,,,Billboard Top 100 Hits Of 1956 - 064 - Otis Williams & His Charms - Ivory Tower.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,075 - The Diamonds - Why Do Fools Fall In Love,,,Billboard Top 100 Hits Of 1956 - 075 - The Diamonds - Why Do Fools Fall In Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,066 - Mitch Miller & His Orchestra - Theme From Song For A Summer Night,,,Billboard Top 100 Hits Of 1956 - 066 - Mitch Miller & His Orchestra - Theme From Song For A Summer Night.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,100 - The Blue Stars - Lullaby Of Birdland,,,Billboard Top 100 Hits Of 1956 - 100 - The Blue Stars - Lullaby Of Birdland.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,057 - George Hamilton IV - A Rose And A Baby Ruth,,,Billboard Top 100 Hits Of 1956 - 057 - George Hamilton IV - A Rose And A Baby Ruth.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,086 - Jane Powell - True Love,,,Billboard Top 100 Hits Of 1956 - 086 - Jane Powell - True Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,081 - Johnny Cash - I Walk The Line,,,Billboard Top 100 Hits Of 1956 - 081 - Johnny Cash - I Walk The Line.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,099 - Teresa Brewer - Bo Weevil,,,Billboard Top 100 Hits Of 1956 - 099 - Teresa Brewer - Bo Weevil.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,082 - Tony Bennett - Can You Find It In Your Heart,,,Billboard Top 100 Hits Of 1956 - 082 - Tony Bennett - Can You Find It In Your Heart.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,053 - Frank Sinatra - Hey! Jealous Lover,,,Billboard Top 100 Hits Of 1956 - 053 - Frank Sinatra - Hey! Jealous Lover.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,098 - Richard Maltby - Themes From 'The Man With The Golden Arm',,,Billboard Top 100 Hits Of 1956 - 098 - Richard Maltby - Themes From 'The Man With The Golden Arm'.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,084 - The Fontane Sisters - Eddie My Love,,,Billboard Top 100 Hits Of 1956 - 084 - The Fontane Sisters - Eddie My Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,044 - Bing Crosby & Grace Kelly - True Love,,,Billboard Top 100 Hits Of 1956 - 044 - Bing Crosby & Grace Kelly - True Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,007 - Les Baxter - Poor People Of Paris,,,Billboard Top 100 Hits Of 1956 - 007 - Les Baxter - Poor People Of Paris.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,087 - Richard Hayman & Jan August - Theme From 'The Three Penny Opera',,,Billboard Top 100 Hits Of 1956 - 087 - Richard Hayman & Jan August - Theme From 'The Three Penny Opera'.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,020 - Four Lads - No Not Much,,,Billboard Top 100 Hits Of 1956 - 020 - Four Lads - No Not Much.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,094 - Eileen Rodgers - Miracle Of Love,,,Billboard Top 100 Hits Of 1956 - 094 - Eileen Rodgers - Miracle Of Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,079 - The Platters - You'll Never Never Know,,,Billboard Top 100 Hits Of 1956 - 079 - The Platters - You'll Never Never Know.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,012 - Platters - The Great Pretender,,,Billboard Top 100 Hits Of 1956 - 012 - Platters - The Great Pretender.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,088 - Nat King Cole - Night Lights,,,Billboard Top 100 Hits Of 1956 - 088 - Nat King Cole - Night Lights.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,037 - Chordettes - Born To Be With You,,,Billboard Top 100 Hits Of 1956 - 037 - Chordettes - Born To Be With You.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,089 - The Cadillacs - Speedo,,,Billboard Top 100 Hits Of 1956 - 089 - The Cadillacs - Speedo.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,092 - Fats Domino - My Blue Heaven,,,Billboard Top 100 Hits Of 1956 - 092 - Fats Domino - My Blue Heaven.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,080 - Perry Como - Glendora,,,Billboard Top 100 Hits Of 1956 - 080 - Perry Como - Glendora.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,085 - Don Rondo - Two Different Worlds,,,Billboard Top 100 Hits Of 1956 - 085 - Don Rondo - Two Different Worlds.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,096 - Lawrence Welk & The Lennon Sisters - Tonight You Belong To Me,,,Billboard Top 100 Hits Of 1956 - 096 - Lawrence Welk & The Lennon Sisters - Tonight You Belong To Me.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,"058 - Eddie Fisher - Cindy, Oh Cindy",,,"Billboard Top 100 Hits Of 1956 - 058 - Eddie Fisher - Cindy, Oh Cindy.mp3",❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,052 - Pat Boone - Friendly Persuasion,,,Billboard Top 100 Hits Of 1956 - 052 - Pat Boone - Friendly Persuasion.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,016 - Perry Como - Hot Diggity,,,Billboard Top 100 Hits Of 1956 - 016 - Perry Como - Hot Diggity.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,065 - The Crew Cuts - Angels In The Sky,,,Billboard Top 100 Hits Of 1956 - 065 - The Crew Cuts - Angels In The Sky.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,038 - Don Cherry - Band Of Gold,,,Billboard Top 100 Hits Of 1956 - 038 - Don Cherry - Band Of Gold.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,076 - Perry Como - Juke Box Baby,,,Billboard Top 100 Hits Of 1956 - 076 - Perry Como - Juke Box Baby.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,051 - Dream Weavers - Its Almost Tomorrow,,,Billboard Top 100 Hits Of 1956 - 051 - Dream Weavers - Its Almost Tomorrow.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,047 - Nervous Norvus - Transfusion,,,Billboard Top 100 Hits Of 1956 - 047 - Nervous Norvus - Transfusion.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,011 - Morris Stoloff - Moonglow And Theme From Picnic,,,Billboard Top 100 Hits Of 1956 - 011 - Morris Stoloff - Moonglow And Theme From Picnic.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,060 - Dick Hyman Trio - Moritat - Three Penny Opera,,,Billboard Top 100 Hits Of 1956 - 060 - Dick Hyman Trio - Moritat - Three Penny Opera.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1956,071 - Patti Page - Mama From The Train,,,Billboard Top 100 Hits Of 1956 - 071 - Patti Page - Mama From The Train.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,069 - The McGuire Sisters - Picnic,,,Billboard Top 100 Hits Of 1956 - 069 - The McGuire Sisters - Picnic.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,095 - Frankie Lyman & The Teenagers - I Want You To Be My Girl,,,Billboard Top 100 Hits Of 1956 - 095 - Frankie Lyman & The Teenagers - I Want You To Be My Girl.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,073 - Kit Carson - Band Of Gold,,,Billboard Top 100 Hits Of 1956 - 073 - Kit Carson - Band Of Gold.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,091 - Peggy Lee - Mr. Wonderful,,,Billboard Top 100 Hits Of 1956 - 091 - Peggy Lee - Mr. Wonderful.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,097 - The Chordettes - Lay Down Your Arms,,,Billboard Top 100 Hits Of 1956 - 097 - The Chordettes - Lay Down Your Arms.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,027 - Gene Vincent - Be Bop A Lula,,,Billboard Top 100 Hits Of 1956 - 027 - Gene Vincent - Be Bop A Lula.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,034 - Pat Boone - I'll Be Home,,,Billboard Top 100 Hits Of 1956 - 034 - Pat Boone - I'll Be Home.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,077 - Rusty Draper - Are You Satisfied,,,Billboard Top 100 Hits Of 1956 - 077 - Rusty Draper - Are You Satisfied.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,039 - Perry Como - More,,,Billboard Top 100 Hits Of 1956 - 039 - Perry Como - More.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,054 - Eddie Heywood - Soft Summer Breeze,,,Billboard Top 100 Hits Of 1956 - 054 - Eddie Heywood - Soft Summer Breeze.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,072 - Nat King Cole - That's All There Is To That,,,Billboard Top 100 Hits Of 1956 - 072 - Nat King Cole - That's All There Is To That.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,083 - Pat Boone - Tutti Frutti,,,Billboard Top 100 Hits Of 1956 - 083 - Pat Boone - Tutti Frutti.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,022 - Tennessee Ernie Ford - Sixteen Tons,,,Billboard Top 100 Hits Of 1956 - 022 - Tennessee Ernie Ford - Sixteen Tons.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,093 - Clyde Mcphatter - Treasure Of Love,,,Billboard Top 100 Hits Of 1956 - 093 - Clyde Mcphatter - Treasure Of Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,062 - Joe Valino - Garden Of Eden,,,Billboard Top 100 Hits Of 1956 - 062 - Joe Valino - Garden Of Eden.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,059 - Jerry Vale - You Don't Know Me,,,Billboard Top 100 Hits Of 1956 - 059 - Jerry Vale - You Don't Know Me.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,024 - Patti Page - Allegheny Moon,,,Billboard Top 100 Hits Of 1956 - 024 - Patti Page - Allegheny Moon.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,056 - Eddie Fisher - Dungaree Doll,,,Billboard Top 100 Hits Of 1956 - 056 - Eddie Fisher - Dungaree Doll.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,042 - Stanford Clark - The Fool,,,Billboard Top 100 Hits Of 1956 - 042 - Stanford Clark - The Fool.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,"063 - Vince Martin & Tarriers - Cindy, Oh Cindy",,,"Billboard Top 100 Hits Of 1956 - 063 - Vince Martin & Tarriers - Cindy, Oh Cindy.mp3",❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,050 - Lonnie Donegan - Rock Island Line,,,Billboard Top 100 Hits Of 1956 - 050 - Lonnie Donegan - Rock Island Line.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,021 - Bill Doggett - Honky Tonk,,,Billboard Top 100 Hits Of 1956 - 021 - Bill Doggett - Honky Tonk.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,003 - Nelson Riddle & His Orchestra - Lisbon Antigua,,,Billboard Top 100 Hits Of 1956 - 003 - Nelson Riddle & His Orchestra - Lisbon Antigua.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,090 - The Diamonds - Church Bells May Ring,,,Billboard Top 100 Hits Of 1956 - 090 - The Diamonds - Church Bells May Ring.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,055 - Andy Williams - Canadian Sunset,,,Billboard Top 100 Hits Of 1956 - 055 - Andy Williams - Canadian Sunset.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,028 - Frankie Lymon & The Teenagers - Why Do Fools Fall In Love,,,Billboard Top 100 Hits Of 1956 - 028 - Frankie Lymon & The Teenagers - Why Do Fools Fall In Love.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1956,070 - Al Hibbler - After The Lights Go Down Low,,,Billboard Top 100 Hits Of 1956 - 070 - Al Hibbler - After The Lights Go Down Low.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,057 - Harry Belafonte - Jamaica Farewell,,,Billboard Top 100 Hits Of 1957 - 057 - Harry Belafonte - Jamaica Farewell.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,"080 - Little Richard - Jenny, Jenny",,,"Billboard Top 100 Hits Of 1957 - 080 - Little Richard - Jenny, Jenny.mp3",❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,075 - Victor Young & His Orchestra - Around The World In 80 Days,,,Billboard Top 100 Hits Of 1957 - 075 - Victor Young & His Orchestra - Around The World In 80 Days.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1957,062 - Ivory Joe Hunter - Since I Met You Baby,,,Billboard Top 100 Hits Of 1957 - 062 - Ivory Joe Hunter - Since I Met You Baby.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,082 - Little Richard - Keep A Knockin',,,Billboard Top 100 Hits Of 1957 - 082 - Little Richard - Keep A Knockin'.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,096 - The Four Coins - Shangri-La,,,Billboard Top 100 Hits Of 1957 - 096 - The Four Coins - Shangri-La.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1957,026 - The Tarriers - The Banana Boat Song,,,Billboard Top 100 Hits Of 1957 - 026 - The Tarriers - The Banana Boat Song.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,072 - Thurston Harris - Little Bitty Pretty One,,,Billboard Top 100 Hits Of 1957 - 072 - Thurston Harris - Little Bitty Pretty One.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,019 - The Everly Brothers - Wake Up Little Susie,,,Billboard Top 100 Hits Of 1957 - 019 - The Everly Brothers - Wake Up Little Susie.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,099 - Jimmy Bowen - I'm Stickin' With You,,,Billboard Top 100 Hits Of 1957 - 099 - Jimmy Bowen - I'm Stickin' With You.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,073 - Steve Lawrence - Party Doll,,,Billboard Top 100 Hits Of 1957 - 073 - Steve Lawrence - Party Doll.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,036 - Andy Williams - Butterfly,,,Billboard Top 100 Hits Of 1957 - 036 - Andy Williams - Butterfly.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,037 - Terry Gilkyson & The Easy Riders - Marianne,,,Billboard Top 100 Hits Of 1957 - 037 - Terry Gilkyson & The Easy Riders - Marianne.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1957,065 - Mantovani Orchestra - Around The World In 80 Days,,,Billboard Top 100 Hits Of 1957 - 065 - Mantovani Orchestra - Around The World In 80 Days.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1957,033 - Tommy Sands - Teen-Age Crush,,,Billboard Top 100 Hits Of 1957 - 033 - Tommy Sands - Teen-Age Crush.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,044 - Jim Lowe - The Green Door,,,Billboard Top 100 Hits Of 1957 - 044 - Jim Lowe - The Green Door.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,051 - Johnny Mathis - Wonderful! Wonderful!,,,Billboard Top 100 Hits Of 1957 - 051 - Johnny Mathis - Wonderful! Wonderful!.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,086 - Ernie Freeman - Raunchy,,,Billboard Top 100 Hits Of 1957 - 086 - Ernie Freeman - Raunchy.mp3,❓ Poor matches - potentially rare
Billboard Top 100 Hits Of 1957,023 - Ferlin Huskey - Since You've Gone,,,Billboard Top 100 Hits Of 1957 - 023 - Ferlin Huskey - Since You've Gone.mp3,❌ Not found - likely rare
Billboard Top 100 Hits Of 1957,067 - Johnnie & Joe - Over The Mountain Across The Sea,,,Billboard Top 100 Hits Of 1957 - 067 - Johnnie & Joe - Over The Mountain Across The Sea.mp3,❓ Poor matches - potentially rare
