File Path,Filename,Artist,Title,Album,Year,YouTube Results,Best Match Score,Match Quality,Analysis
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/05 Invite Them Up_ Craig Baldo.m4a,05 Invite Them Up_ Craig Baldo.m4a,Craig Baldo,Invite Them Up: Craig Baldo,Invite Them Up,2006,5,85,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/20 Invite Them Up_ Bobby Tisdale.m4a,20 Invite Them Up_ Bobby Tisdale.m4a,Bobby Tisdale,Invite Them Up: Bobby Tisdale,Invite Them Up,2006,5,77,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/08 Invite Them Up_ Craig Wedren.m4a,08 Invite Them Up_ Craig Wedren.m4a,Craig Wedren,Invite Them Up: Craig Wedren,Invite Them Up,2006,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/15 Invite Them Up_ Tom McCaffrey.m4a,15 Invite Them Up_ Tom McCaffrey.m4a,Tom McCaffrey,Invite Them Up: Tom McCaffrey,Invite Them Up,2006,5,66,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/01 Invite Them Up_ Bobby Tisdale Intro.m4a,01 Invite Them Up_ Bobby Tisdale Intro.m4a,Bobby Tisdale Intro,Invite Them Up: Bobby Tisdale Intro,Invite Them Up,2006,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/10 Invite Them Up_ Aziz Ansari.m4a,10 Invite Them Up_ Aziz Ansari.m4a,Aziz Ansari,Invite Them Up: Aziz Ansari,Invite Them Up,2006,5,75,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/13 Invite Them Up_ David Wain.m4a,13 Invite Them Up_ David Wain.m4a,David Wain,Invite Them Up: David Wain,Invite Them Up,2006,5,79,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/06 Invite Them Up_ The Doilies.m4a,06 Invite Them Up_ The Doilies.m4a,The Doilies (Zak Orth & Michael Showalter),Invite Them Up: The Doilies,Invite Them Up,2006,2,74,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/24 Invite Them Up_ Jon Benjamin & David Cross.m4a,24 Invite Them Up_ Jon Benjamin & David Cross.m4a,David Cross & Jon Benjamin,Invite Them Up: Jon Benjamin & David Cross,Invite Them Up,2006,5,54,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/14 Invite Them Up_ Chelsea Peretti.m4a,14 Invite Them Up_ Chelsea Peretti.m4a,Chelsea Peretti,Invite Them Up: Chelsea Peretti,Invite Them Up,2006,5,82,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/22 Invite Them Up_ Andy Blitz.m4a,22 Invite Them Up_ Andy Blitz.m4a,Andy Blitz,Invite Them Up: Andy Blitz,Invite Them Up,2006,5,77,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/17 Invite Them Up_ Marcellus Hall.m4a,17 Invite Them Up_ Marcellus Hall.m4a,Marcellus Hall,Invite Them Up: Marcellus Hall,Invite Them Up,2006,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/16 Invite Them Up_ Andrea Rosen.m4a,16 Invite Them Up_ Andrea Rosen.m4a,Andrea Rosen,Invite Them Up: Andrea Rosen,Invite Them Up,2006,5,70,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/11 Invite Them Up_ God's Pottery.m4a,11 Invite Them Up_ God's Pottery.m4a,God's Pottery,Invite Them Up: God's Pottery,Invite Them Up,2006,5,78,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/12 Invite Them Up_ Jessi Klein.m4a,12 Invite Them Up_ Jessi Klein.m4a,Jessi Klein,Invite Them Up: Jessi Klein,Invite Them Up,2006,5,80,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/07 Invite Them Up_ Jon Glaser.m4a,07 Invite Them Up_ Jon Glaser.m4a,Jon Glaser,Invite Them Up: Jon Glaser,Invite Them Up,2006,5,76,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/02 Invite Them Up_ Mike Birbiglia.m4a,02 Invite Them Up_ Mike Birbiglia.m4a,Mike Birbiglia,Invite Them Up: Mike Birbiglia,Invite Them Up,2006,5,82,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/21 Invite Them Up_ A.D. Miles.m4a,21 Invite Them Up_ A.D. Miles.m4a,A.D. Miles,Invite Them Up: A.D. Miles,Invite Them Up,2006,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/25 Invite Them Up_ Langorne Slim.m4a,25 Invite Them Up_ Langorne Slim.m4a,Langorne Slim,Invite Them Up: Langorne Slim,Invite Them Up,2006,5,84,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/03 Invite Them Up_ Demetri Martin.m4a,03 Invite Them Up_ Demetri Martin.m4a,Demetri Martin,Invite Them Up: Demetri Martin,Invite Them Up,2006,5,85,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Invite Them Up/19 Invite Them Up_ Todd Barry.m4a,19 Invite Them Up_ Todd Barry.m4a,Todd Barry,Invite Them Up: Todd Barry,Invite Them Up,2006,5,71,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Compilations/Disney _ Pixar Greatest (Original Soundtrack)/02 The Time of Your Life.m4a,02 The Time of Your Life.m4a,Randy Newman,The Time of Your Life,Disney / Pixar Greatest (Original Soundtrack),2009,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Disney _ Pixar Greatest (Original Soundtrack)/11 A Bug's Life Suite (Score).m4a,11 A Bug's Life Suite (Score).m4a,Randy Newman,A Bug's Life Suite (Score),Disney / Pixar Greatest (Original Soundtrack),2009,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Disney _ Pixar Greatest (Original Soundtrack)/01 You've Got a Friend In Me.m4a,01 You've Got a Friend In Me.m4a,Randy Newman,You've Got a Friend In Me,Disney / Pixar Greatest (Original Soundtrack),2009,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Compilations/Disney _ Pixar Greatest (Original Soundtrack)/25 Carl Goes Up.m4a,25 Carl Goes Up.m4a,Michael Giacchino,Carl Goes Up,Disney / Pixar Greatest (Original Soundtrack),2009,5,95,Excellent match,✅ Readily available
